issue_date,issue_time_utc,target_time_utc,target_time_local,horizon_h,lead_day,p_t1,p_t2,p_farm,p_farm_q10,p_farm_q90,ifs_run_time,model_version
2026-01-31,2026-01-31 13:00:00,2026-01-31 18:00:00,2026-02-01 00:00:00,10,1,0.0261,0.0263,0.0272,0.0,0.1845,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-01-31 19:00:00,2026-02-01 01:00:00,11,1,0.0198,0.0233,0.0231,0.0,0.0761,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-01-31 20:00:00,2026-02-01 02:00:00,12,1,0.0165,0.0177,0.0195,0.0,0.0274,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-01-31 21:00:00,2026-02-01 03:00:00,13,1,0.0175,0.0176,0.0161,0.0,0.0539,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-01-31 22:00:00,2026-02-01 04:00:00,14,1,0.0205,0.0191,0.0249,0.0,0.1095,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-01-31 23:00:00,2026-02-01 05:00:00,15,1,0.0288,0.0208,0.0282,0.0,0.1826,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-02-01 00:00:00,2026-02-01 06:00:00,16,1,0.0276,0.0252,0.0324,0.0,0.2627,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-02-01 01:00:00,2026-02-01 07:00:00,17,1,0.0299,0.0262,0.0291,0.0,0.2535,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-02-01 02:00:00,2026-02-01 08:00:00,18,1,0.0315,0.028,0.0309,0.0,0.3217,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-02-01 03:00:00,2026-02-01 09:00:00,19,1,0.0702,0.0564,0.0641,0.0,0.4958,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-02-01 04:00:00,2026-02-01 10:00:00,20,1,0.1075,0.1154,0.0998,0.0,0.6032,2026-01-31 06:00:00,ensemble-v1-20260131
2026-01-31,2026-01-31 13:00:00,2026-02-01 05:00:00,2026-02-01 11:00:00,21,1,0.0969,0.1201,0.1051,0.0,0.6225,2026-01-31 06:00:00,ensemble-v1-20260131
