issue_date,issue_time_utc,target_time_utc,target_time_local,horizon_h,lead_day,p_t1,p_t2,p_farm,p_farm_q10,p_farm_q90,ifs_run_time,model_version
2026-02-21,2026-02-21 08:00:00,2026-02-21 18:00:00,2026-02-22 00:00:00,10,1,0.0848,0.0793,0.079,0.0,0.316,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-21 19:00:00,2026-02-22 01:00:00,11,1,0.0969,0.0879,0.081,0.0,0.2857,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-21 20:00:00,2026-02-22 02:00:00,12,1,0.0616,0.059,0.0519,0.0,0.2508,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-21 21:00:00,2026-02-22 03:00:00,13,1,0.0485,0.0487,0.0424,0.0,0.1657,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-21 22:00:00,2026-02-22 04:00:00,14,1,0.0587,0.0488,0.0355,0.0,0.1547,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-21 23:00:00,2026-02-22 05:00:00,15,1,0.0361,0.0423,0.0298,0.0,0.1096,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 00:00:00,2026-02-22 06:00:00,16,1,0.04,0.0456,0.0393,0.0,0.1582,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 01:00:00,2026-02-22 07:00:00,17,1,0.0526,0.0522,0.0592,0.0,0.1374,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 02:00:00,2026-02-22 08:00:00,18,1,0.1612,0.1445,0.191,0.0,0.4499,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 03:00:00,2026-02-22 09:00:00,19,1,0.2336,0.2161,0.2747,0.0436,0.7478,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 04:00:00,2026-02-22 10:00:00,20,1,0.4125,0.3899,0.4146,0.1375,0.9259,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 05:00:00,2026-02-22 11:00:00,21,1,0.638,0.6256,0.6272,0.2916,0.9814,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 06:00:00,2026-02-22 12:00:00,22,1,0.6942,0.6721,0.6908,0.3172,0.99,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 07:00:00,2026-02-22 13:00:00,23,1,0.8518,0.7939,0.8186,0.5446,0.99,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 08:00:00,2026-02-22 14:00:00,24,1,0.8576,0.8169,0.8374,0.7023,0.9894,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 09:00:00,2026-02-22 15:00:00,25,1,0.8398,0.8025,0.8191,0.7498,0.9872,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 10:00:00,2026-02-22 16:00:00,26,1,0.8097,0.7667,0.7791,0.5783,0.9897,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 11:00:00,2026-02-22 17:00:00,27,1,0.7732,0.7211,0.7367,0.4628,0.99,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 12:00:00,2026-02-22 18:00:00,28,1,0.7223,0.6633,0.7165,0.4397,0.99,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 13:00:00,2026-02-22 19:00:00,29,1,0.4869,0.4655,0.5179,0.206,0.99,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 14:00:00,2026-02-22 20:00:00,30,1,0.3594,0.3014,0.3387,0.0616,0.8411,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 15:00:00,2026-02-22 21:00:00,31,1,0.2734,0.2342,0.2686,0.0128,0.7199,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 16:00:00,2026-02-22 22:00:00,32,1,0.2307,0.1922,0.2287,0.0005,0.7071,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 17:00:00,2026-02-22 23:00:00,33,1,0.1546,0.1345,0.1625,0.0,0.7415,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 18:00:00,2026-02-23 00:00:00,34,2,0.2705,0.2343,0.2711,0.0592,0.8857,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 19:00:00,2026-02-23 01:00:00,35,2,0.2911,0.2188,0.2405,0.0438,0.854,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 20:00:00,2026-02-23 02:00:00,36,2,0.2584,0.2067,0.2159,0.0,0.7609,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 21:00:00,2026-02-23 03:00:00,37,2,0.1727,0.1317,0.1461,0.0,0.667,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 22:00:00,2026-02-23 04:00:00,38,2,0.0857,0.064,0.0767,0.0,0.364,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-22 23:00:00,2026-02-23 05:00:00,39,2,0.0868,0.0547,0.0597,0.0,0.3368,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-23 00:00:00,2026-02-23 06:00:00,40,2,0.0788,0.0564,0.0712,0.0,0.3313,2026-02-21,ensemble-v1-20260131
2026-02-21,2026-02-21 08:00:00,2026-02-23 01:00:00,2026-02-23 07:00:00,41,2,0.0896,0.0721,0.0879,0.0,0.3549,2026-02-21,ensemble-v1-20260131
