issue_date,issue_time_utc,target_time_utc,target_time_local,horizon_h,lead_day,p_t1,p_t2,p_farm,p_farm_q10,p_farm_q90,ifs_run_time,model_version
2026-02-11,2026-02-11 08:00:00,2026-02-11 18:00:00,2026-02-12 00:00:00,10,1,0.6386,0.6044,0.6455,0.2458,0.9426,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-11 19:00:00,2026-02-12 01:00:00,11,1,0.5104,0.4775,0.5247,0.1943,0.9048,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-11 20:00:00,2026-02-12 02:00:00,12,1,0.5055,0.4849,0.4926,0.2269,0.9262,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-11 21:00:00,2026-02-12 03:00:00,13,1,0.473,0.4656,0.4665,0.1969,0.9078,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-11 22:00:00,2026-02-12 04:00:00,14,1,0.3894,0.3767,0.3827,0.0666,0.7934,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-11 23:00:00,2026-02-12 05:00:00,15,1,0.2949,0.2805,0.2969,0.0328,0.6524,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 00:00:00,2026-02-12 06:00:00,16,1,0.1498,0.1537,0.1596,0.0,0.3051,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 01:00:00,2026-02-12 07:00:00,17,1,0.086,0.0721,0.0941,0.0,0.1755,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 02:00:00,2026-02-12 08:00:00,18,1,0.0634,0.0532,0.0601,0.0,0.1157,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 03:00:00,2026-02-12 09:00:00,19,1,0.047,0.0488,0.0411,0.0,0.0953,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 04:00:00,2026-02-12 10:00:00,20,1,0.0291,0.0339,0.0269,0.0,0.0531,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 05:00:00,2026-02-12 11:00:00,21,1,0.0359,0.0173,0.0266,0.0,0.1466,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 06:00:00,2026-02-12 12:00:00,22,1,0.028,0.0154,0.0266,0.0,0.067,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 07:00:00,2026-02-12 13:00:00,23,1,0.0229,0.0137,0.0243,0.0,0.0681,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 08:00:00,2026-02-12 14:00:00,24,1,0.0229,0.0162,0.0249,0.0,0.0907,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 09:00:00,2026-02-12 15:00:00,25,1,0.0259,0.0182,0.0265,0.0,0.0979,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 10:00:00,2026-02-12 16:00:00,26,1,0.031,0.0281,0.0323,0.0,0.1152,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 11:00:00,2026-02-12 17:00:00,27,1,0.0779,0.062,0.072,0.0,0.1612,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 12:00:00,2026-02-12 18:00:00,28,1,0.1136,0.1067,0.1192,0.0,0.1789,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 13:00:00,2026-02-12 19:00:00,29,1,0.1494,0.1467,0.1485,0.0,0.2954,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 14:00:00,2026-02-12 20:00:00,30,1,0.1712,0.1613,0.1727,0.0,0.2904,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 15:00:00,2026-02-12 21:00:00,31,1,0.1752,0.1672,0.1761,0.0087,0.2733,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 16:00:00,2026-02-12 22:00:00,32,1,0.158,0.1443,0.1592,0.0,0.4441,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 17:00:00,2026-02-12 23:00:00,33,1,0.0785,0.0899,0.1018,0.0,0.3853,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 18:00:00,2026-02-13 00:00:00,34,2,0.0618,0.0574,0.0594,0.0,0.3337,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 19:00:00,2026-02-13 01:00:00,35,2,0.0621,0.0673,0.0599,0.0,0.3712,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 20:00:00,2026-02-13 02:00:00,36,2,0.0415,0.0426,0.0394,0.0,0.3394,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 21:00:00,2026-02-13 03:00:00,37,2,0.0332,0.0334,0.0368,0.0,0.3174,2026-02-11,ensemble-v1-20260131
2026-02-11,2026-02-11 08:00:00,2026-02-12 22:00:00,2026-02-13 04:00:00,38,2,0.032,0.0264,0.0357,0.0,0.2144,2026-02-11,ensemble-v1-20260131
